combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,none,KF_SVR,0.021,0.1739,-0.1451,0.3529
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_30,Ridge,0.0209,0.0692,-0.0922,0.111
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_30,Ridge,0.0209,0.0692,-0.0922,0.111
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,pca_50,SVR,0.0208,0.0672,-0.0806,0.1216
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_50,GradientBoosting,0.0207,0.0963,-0.1455,0.1484
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_30,SVR,0.0202,0.1071,-0.1003,0.2141
Temporal,R3D,512,339,spearman_30,KF_SVR,0.0202,0.1024,-0.1219,0.1791
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_30,KF_MLP,0.0202,0.1019,-0.1424,0.1363
R3D,R3D,512,339,spearman_30,KF_SVR,0.0202,0.1024,-0.1219,0.1791
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_30,SVR,0.0202,0.1071,-0.1003,0.2141
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_30,KF_GradientBoosting,0.0199,0.0569,-0.0513,0.0865
VGG,VGG,12288,339,pca_30,KF_LinearRegression,0.0196,0.0569,-0.0844,0.0844
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_50,GradientBoosting,0.0195,0.0943,-0.1356,0.1531
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,none,MLP,0.0195,0.1301,-0.1643,0.2319
VGG,VGG,12288,339,spearman_30,KF_SVR,0.0193,0.0333,-0.0302,0.0687
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_50,KF_Ridge,0.0191,0.0986,-0.1366,0.165
VGG,VGG,12288,339,none,KF_LinearRegression,0.019,0.0093,0.0049,0.0285
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,Ridge,0.019,0.1395,-0.0983,0.2671
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_30,GradientBoosting,0.0189,0.0843,-0.1033,0.1274
DenseNet121,DenseNet121,3072,339,pca_30,KF_LinearRegression,0.0189,0.1647,-0.2944,0.1888
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,GradientBoosting,0.0189,0.0843,-0.1033,0.1274
ResNet50,ResNet50,6144,339,spearman_50,LinearRegression,0.0188,0.1389,-0.2406,0.134
ResNet50,ResNet50,6144,339,spearman_50,Ridge,0.0187,0.1381,-0.2391,0.1342
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,none,KF_MLP,0.0187,0.0891,-0.1473,0.1188
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,none,MLP,0.0185,0.1614,-0.1893,0.2406
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_50,Ridge,0.0184,0.1384,-0.1947,0.2328
LBP,LBP,768,339,spearman_30,MLP,0.0183,0.0667,-0.0579,0.1184
AlexNet,AlexNet,12288,339,none,MLP,0.0181,0.1305,-0.1919,0.1918
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,LinearRegression,0.0178,0.0934,-0.0944,0.1339
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_50,LinearRegression,0.0177,0.0948,-0.0773,0.1463
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_50,LinearRegression,0.0177,0.0948,-0.0773,0.1463
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_50,LinearRegression,0.0176,0.1345,-0.1941,0.2254
tcnj_audio_c,tcnj_audio_c,27,339,spearman_50,SVR,0.0175,0.0738,-0.0756,0.1283
tcnj_audio_c,tcnj_audio_c,27,339,spearman_30,SVR,0.0175,0.0738,-0.0756,0.1283
tcnj_audio_c,tcnj_audio_c,27,339,none,SVR,0.0175,0.0738,-0.0756,0.1283
ResNet50,ResNet50,6144,339,spearman_50,KF_GradientBoosting,0.0174,0.1244,-0.134,0.1732
VGG,VGG,12288,339,pca_30,GradientBoosting,0.0174,0.1043,-0.1598,0.1601
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_50,Ridge,0.0173,0.0942,-0.0772,0.1453
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_50,Ridge,0.0173,0.0942,-0.0772,0.1453
Audio,tcnj_audio_c|tcnj_audio_o,36,339,none,SVR,0.0172,0.0958,-0.1268,0.1419
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,SVR,0.0172,0.0958,-0.1268,0.1419
LBP,LBP,768,339,spearman_30,KF_GradientBoosting,0.017,0.0692,-0.0518,0.1328
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,LinearRegression,0.0169,0.0642,-0.0921,0.0978
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,LinearRegression,0.0169,0.0642,-0.0921,0.0978
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,none,KF_MLP,0.0166,0.1187,-0.2054,0.1378
VGG,VGG,12288,339,none,KF_Ridge,0.0165,0.0662,-0.0874,0.092
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_50,KF_SVR,0.0163,0.1013,-0.1401,0.1435
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_50,SVR,0.0163,0.1012,-0.0923,0.2086
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_50,SVR,0.0163,0.1012,-0.0923,0.2086
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_30,SVR,0.0162,0.0854,-0.0665,0.17
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_50,KF_SVR,0.0162,0.1309,-0.2293,0.1446
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,SVR,0.0162,0.0854,-0.0665,0.17
HSVHistogram,HSVHistogram,72,339,spearman_30,KF_MLP,0.0161,0.0933,-0.0962,0.1667
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,spearman_30,SVR,0.0161,0.1162,-0.1567,0.1942
RGBHistogram,RGBHistogram,72,339,spearman_30,GradientBoosting,0.016,0.152,-0.2588,0.2029
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,Ridge,0.016,0.0643,-0.0922,0.0978
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_50,KF_Ridge,0.016,0.0835,-0.1185,0.1247
R3D,R3D,512,339,spearman_50,Ridge,0.016,0.0522,-0.0666,0.0767
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,pca_50,KF_MLP,0.016,0.1986,-0.2457,0.3223
Temporal,R3D,512,339,spearman_50,Ridge,0.016,0.0522,-0.0666,0.0767
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,Ridge,0.016,0.0643,-0.0922,0.0978
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,none,MLP,0.0157,0.0556,-0.0339,0.1242
R3D,R3D,512,339,none,Ridge,0.0154,0.1074,-0.1192,0.1413
R3D,R3D,512,339,none,MLP,0.0154,0.0393,-0.0496,0.0603
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,KF_GradientBoosting,0.0154,0.062,-0.0562,0.0998
Temporal,R3D,512,339,none,Ridge,0.0154,0.1074,-0.1192,0.1413
Temporal,R3D,512,339,none,MLP,0.0154,0.0393,-0.0496,0.0603
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,KF_LinearRegression,0.0153,0.0887,-0.0856,0.15
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,KF_LinearRegression,0.0152,0.1148,-0.2055,0.1219
LBP,LBP,768,339,spearman_50,MLP,0.0152,0.0733,-0.084,0.1035
Temporal,R3D,512,339,spearman_30,KF_GradientBoosting,0.0151,0.1327,-0.2181,0.1804
R3D,R3D,512,339,spearman_30,KF_GradientBoosting,0.0151,0.1327,-0.2181,0.1804
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,none,GradientBoosting,0.0151,0.1411,-0.1852,0.2516
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_30,KF_LinearRegression,0.015,0.0786,-0.1267,0.0959
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,none,GradientBoosting,0.0149,0.1454,-0.1677,0.2551
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,pca_50,SVR,0.0149,0.0763,-0.1131,0.1236
tcnj_emotion,tcnj_emotion,19,339,pca_30,KF_Ridge,0.0149,0.0411,-0.0533,0.0657
tcnj_emotion,tcnj_emotion,19,339,pca_50,KF_Ridge,0.0149,0.0411,-0.0533,0.0657
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,pca_50,SVR,0.0148,0.1393,-0.1889,0.2379
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_50,LinearRegression,0.0148,0.0909,-0.0773,0.1317
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_50,LinearRegression,0.0148,0.0909,-0.0773,0.1317
Temporal,R3D,512,339,spearman_50,LinearRegression,0.0143,0.0516,-0.0668,0.076
R3D,R3D,512,339,spearman_50,LinearRegression,0.0143,0.0516,-0.0668,0.076
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_50,Ridge,0.0142,0.0901,-0.0772,0.1299
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_50,Ridge,0.0142,0.0901,-0.0772,0.1299
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,pca_30,KF_LinearRegression,0.014,0.0432,-0.0608,0.0613
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,pca_50,KF_LinearRegression,0.014,0.0432,-0.0608,0.0613
ViT,ViT,2304,339,spearman_50,KF_GradientBoosting,0.0138,0.1847,-0.211,0.3178
VGG,VGG,12288,339,spearman_50,MLP,0.0138,0.1512,-0.1832,0.216
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,none,KF_MLP,0.0138,0.1464,-0.226,0.1943
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_30,SVR,0.0136,0.0808,-0.0665,0.1572
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,SVR,0.0136,0.0808,-0.0665,0.1572
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_30,KF_GradientBoosting,0.0135,0.0463,-0.0421,0.085
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_50,MLP,0.0133,0.1237,-0.1847,0.1812
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_50,MLP,0.0133,0.1237,-0.1847,0.1812
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,pca_30,GradientBoosting,0.0133,0.1044,-0.157,0.1665
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_50,KF_LinearRegression,0.0132,0.1576,-0.2471,0.2154
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,SVR,0.0132,0.1785,-0.3043,0.2327
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_30,SVR,0.0132,0.1054,-0.131,0.1447
VGG,VGG,12288,339,spearman_30,LinearRegression,0.0131,0.0675,-0.0584,0.1413
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_30,MLP,0.0131,0.0491,-0.0673,0.0773
VGG,VGG,12288,339,spearman_30,Ridge,0.0129,0.0676,-0.0583,0.1413
AlexNet,AlexNet,12288,339,none,GradientBoosting,0.0125,0.033,-0.0385,0.0583
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,GradientBoosting,0.0124,0.0807,-0.0721,0.1521
RGBHistogram,RGBHistogram,72,339,spearman_30,KF_SVR,0.0121,0.1096,-0.1883,0.1328
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,MLP,0.0118,0.0918,-0.1417,0.1424
tcnj_audio_o,tcnj_audio_o,9,339,pca_30,KF_Ridge,0.0118,0.1182,-0.1723,0.1349
tcnj_audio_o,tcnj_audio_o,9,339,pca_50,KF_Ridge,0.0118,0.1182,-0.1723,0.1349
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,KF_SVR,0.0118,0.1023,-0.1397,0.1277
ResNet50,ResNet50,6144,339,pca_30,Ridge,0.0117,0.1109,-0.1946,0.1071
AlexNet,AlexNet,12288,339,pca_50,KF_LinearRegression,0.0116,0.12,-0.1492,0.2009
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,LinearRegression,0.0113,0.1329,-0.1172,0.2456
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_50,SVR,0.0113,0.1774,-0.1894,0.2858
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,none,KF_MLP,0.0113,0.1447,-0.2219,0.1866
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,LinearRegression,0.0113,0.0788,-0.0921,0.1353
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_30,LinearRegression,0.0113,0.0788,-0.0921,0.1353
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,spearman_30,SVR,0.0112,0.0913,-0.1003,0.1694
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_30,SVR,0.0112,0.0913,-0.1003,0.1694
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,KF_MLP,0.0111,0.1018,-0.0759,0.2083
ViT,ViT,2304,339,none,KF_LinearRegression,0.0108,0.0899,-0.0868,0.1812
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,spearman_30,LinearRegression,0.0106,0.0572,-0.0921,0.067
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_30,LinearRegression,0.0106,0.0572,-0.0921,0.067
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,pca_50,Ridge,0.0103,0.1764,-0.2469,0.2696
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,pca_50,LinearRegression,0.0103,0.1764,-0.2469,0.2696
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,Ridge,0.0101,0.0788,-0.0922,0.1341
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_30,Ridge,0.0101,0.0788,-0.0922,0.1341
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_30,Ridge,0.0099,0.0573,-0.0922,0.069
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,spearman_30,Ridge,0.0099,0.0573,-0.0922,0.069
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,MLP,0.0097,0.1068,-0.1163,0.1437
Temporal,R3D,512,339,none,LinearRegression,0.0095,0.0727,-0.1033,0.1113
R3D,R3D,512,339,none,LinearRegression,0.0095,0.0727,-0.1033,0.1113
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,pca_30,KF_SVR,0.0095,0.173,-0.3016,0.1769
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_30,KF_SVR,0.0093,0.1061,-0.174,0.1525
VGG,VGG,12288,339,pca_50,MLP,0.0093,0.1456,-0.2311,0.1942
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,none,GradientBoosting,0.0092,0.094,-0.1065,0.1409
ResNet50,ResNet50,6144,339,pca_30,LinearRegression,0.0092,0.1292,-0.213,0.1559
ViT,ViT,2304,339,none,KF_GradientBoosting,0.0092,0.0835,-0.1091,0.1306
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_30,GradientBoosting,0.0087,0.0881,-0.1072,0.1555
tcnj_semantic,tcnj_semantic,7,339,pca_30,KF_SVR,0.0086,0.1352,-0.2128,0.1289
tcnj_semantic,tcnj_semantic,7,339,pca_50,KF_SVR,0.0086,0.1352,-0.2128,0.1289
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_50,Ridge,0.0082,0.1364,-0.1976,0.2294
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_30,GradientBoosting,0.0082,0.0785,-0.1033,0.1274
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,GradientBoosting,0.0082,0.0785,-0.1033,0.1274
EfficientNetB3,EfficientNetB3,4608,339,none,Ridge,0.0082,0.1141,-0.1627,0.1785
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_30,KF_MLP,0.0081,0.1118,-0.1162,0.1481
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,spearman_30,KF_GradientBoosting,0.0078,0.1449,-0.2553,0.1744
DenseNet121,DenseNet121,3072,339,spearman_50,KF_Ridge,0.0077,0.0817,-0.0814,0.1513
tcnj_audio_o,tcnj_audio_o,9,339,pca_30,KF_LinearRegression,0.0076,0.1303,-0.2262,0.1513
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,none,LinearRegression,0.0076,0.0721,-0.1108,0.116
tcnj_audio_o,tcnj_audio_o,9,339,pca_50,KF_LinearRegression,0.0076,0.1303,-0.2262,0.1513
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_30,Ridge,0.0075,0.105,-0.1135,0.1991
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,none,Ridge,0.0075,0.105,-0.1135,0.1991
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_50,Ridge,0.0075,0.105,-0.1135,0.1991
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,pca_30,Ridge,0.0075,0.1217,-0.126,0.2373
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,pca_50,Ridge,0.0075,0.1217,-0.126,0.2373
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,none,KF_MLP,0.0075,0.1401,-0.2569,0.1591
ViT,ViT,2304,339,pca_30,LinearRegression,0.0074,0.1218,-0.2193,0.1474
R3D,R3D,512,339,spearman_50,SVR,0.0073,0.081,-0.1303,0.105
Temporal,R3D,512,339,spearman_50,SVR,0.0073,0.081,-0.1303,0.105
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,spearman_30,KF_LinearRegression,0.0071,0.1006,-0.0885,0.1889
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_50,LinearRegression,0.007,0.1218,-0.126,0.2373
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_30,LinearRegression,0.007,0.1218,-0.126,0.2373
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,none,LinearRegression,0.007,0.1218,-0.126,0.2373
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_50,MLP,0.0069,0.0523,-0.0487,0.09
