combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
DenseNet121,DenseNet121,3072,339,pca_30,LinearRegression,0.0343,0.1423,-0.2204,0.1729
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_50,GradientBoosting,0.0343,0.0984,-0.1062,0.1973
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_50,GradientBoosting,0.0343,0.0984,-0.1062,0.1973
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_50,KF_Ridge,0.0342,0.1096,-0.1373,0.1985
ViT,ViT,2304,339,spearman_30,KF_Ridge,0.034,0.1181,-0.1554,0.1793
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_50,KF_LinearRegression,0.034,0.1101,-0.164,0.173
tcnj_audio_o,tcnj_audio_o,9,339,none,KF_MLP,0.0339,0.1051,-0.0571,0.238
tcnj_audio_o,tcnj_audio_o,9,339,spearman_50,KF_MLP,0.0339,0.1051,-0.0571,0.238
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,MLP,0.0339,0.0785,-0.0511,0.1618
tcnj_audio_o,tcnj_audio_o,9,339,spearman_30,KF_MLP,0.0339,0.1051,-0.0571,0.238
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_30,KF_SVR,0.0339,0.1318,-0.2252,0.1445
DenseNet121,DenseNet121,3072,339,pca_50,KF_Ridge,0.0338,0.0973,-0.1483,0.1161
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_50,SVR,0.0335,0.104,-0.125,0.1938
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,KF_GradientBoosting,0.0334,0.0765,-0.0442,0.1567
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,pca_50,KF_Ridge,0.0332,0.0936,-0.1122,0.1475
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_30,Ridge,0.0332,0.2215,-0.3433,0.313
VGG,VGG,12288,339,spearman_30,KF_LinearRegression,0.0332,0.1165,-0.1445,0.2023
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_50,KF_LinearRegression,0.0331,0.0615,-0.0418,0.1288
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_30,LinearRegression,0.0331,0.2256,-0.3443,0.3244
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_50,Ridge,0.0329,0.1015,-0.0772,0.1568
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_50,KF_Ridge,0.0327,0.1194,-0.1095,0.2486
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,LinearRegression,0.0325,0.0797,-0.0921,0.1353
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,SVR,0.0325,0.0737,-0.0416,0.17
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,MLP,0.0322,0.0492,-0.0586,0.0741
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_50,KF_LinearRegression,0.0321,0.1433,-0.1477,0.2316
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_30,KF_GradientBoosting,0.032,0.0721,-0.092,0.1001
AlexNet,AlexNet,12288,339,pca_50,LinearRegression,0.0319,0.1102,-0.1576,0.185
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,pca_30,KF_Ridge,0.0319,0.0556,-0.0304,0.1231
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_50,LinearRegression,0.0318,0.1,-0.0773,0.1732
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_50,LinearRegression,0.0318,0.1,-0.0773,0.1732
EfficientNetB3,EfficientNetB3,4608,339,spearman_30,KF_SVR,0.0318,0.0847,-0.0798,0.1762
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,spearman_50,LinearRegression,0.0316,0.0996,-0.0773,0.1718
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_50,LinearRegression,0.0316,0.0996,-0.0773,0.1718
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,KF_MLP,0.0316,0.1102,-0.1031,0.1482
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_30,KF_GradientBoosting,0.0314,0.0278,0.0026,0.0789
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,Ridge,0.0313,0.0796,-0.0922,0.1341
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_50,KF_GradientBoosting,0.0311,0.1397,-0.091,0.3004
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_30,KF_MLP,0.031,0.1124,-0.1224,0.1557
ViT,ViT,2304,339,pca_50,MLP,0.031,0.1225,-0.1223,0.2332
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,GradientBoosting,0.0309,0.1184,-0.1537,0.1661
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_30,LinearRegression,0.0307,0.2242,-0.3455,0.3159
AlexNet,AlexNet,12288,339,none,KF_Ridge,0.0307,0.1186,-0.1853,0.1776
